Group,rms_x_mean,rms_x_u,rms_y_mean,rms_y_u,ratio_mean,ratio_u,f_n_mean,f_n_u,k_mean,k_u,rms_acc_mean,rms_acc_u
1-G2,0.024500480175424208,0.00014427071475894536,0.0006162081302135227,2.1726358487251106e-05,0.02515900753277465,0.0009311090415704817,3.0661236929572016,,723.9107627475208,,4.821369821808429,0.09938413119262876
1-G3,0.04349612773786125,0.0191838509639168,0.0020133923958622945,0.001214263195190074,0.037738692625302,0.005198993626438917,3.1277951193045617,0.05171496992482803,777.5796044044528,25.5994396552261,5.263656210841763,0.10013412982333038
2-G1,0.024909140230200355,0.00016658352983245988,0.0020916459571914425,0.00040749116531763817,0.08381054747098655,0.015939504135212747,3.1051342510750146,0.010215027179551308,845.088977017553,5.552135210351585,5.241401020831128,0.17029919293065238
